
Listing of archive : 'JANUS_D1.EXE'

  Name          Original    Packed  Ratio   Date     Time   Attr Type  CRC
--------------  --------  -------- ------ -------- -------- ---- ----- ----
  BAS2_IO.SYM       2554      1242  48.6% 85-03-23 20:24:02 a--w -lh1- 3CE8
  BASIC_IO.SYM      3388      1719  50.7% 85-03-23 20:24:54 a--w -lh1- 1231
  BIGARRAY.SYM       791       484  61.2% 85-03-24 19:49:12 a--w -lh1- 2015
  BIT.SYM           2481      1324  53.4% 85-03-24 17:31:08 a--w -lh1- C038
  BLOCKS.$$$           0         0   0.0% 80-01-01  3:40:06 a--w -lh0- 0000
  CALENDAR.SYM      1927      1034  53.7% 85-03-24 17:35:14 a--w -lh1- DF24
  ERROR.MSG        16128      4598  28.5% 85-03-25 12:44:52 a--w -lh1- B6F1
  FLOAT.$$$            0         0   0.0% 80-01-01  3:40:08 a--w -lh0- 0000
  FLOATOPS.SYM      3185      1363  42.8% 85-03-24 17:22:18 a--w -lh1- 12B9
  IO_EXCEP.SYM       573       392  68.4% 85-03-23 20:21:30 a--w -lh1- A3BD
  JANUS.COM        12595      6898  54.8% 85-10-10 13:25:36 a--w -lh1- B6AB
  JANUS1.COM       42844     22643  52.8% 85-10-10 13:25:36 a--w -lh1- 5F6D
  JANUS1.OVL       46365     16817  36.3% 85-03-23 20:17:30 a--w -lh1- 08B9
  JANUS2.COM       50587     25429  50.3% 85-10-10 13:25:38 a--w -lh1- 8750
  JANUS2.OVL        4230      1175  27.8% 85-03-23 20:17:56 a--w -lh1- A17C
  JANUS2A.COM      64827     30193  46.6% 85-10-10 13:25:40 a--w -lh1- 4061
  JANUS3.COM       64354     31824  49.5% 85-10-10 13:25:42 a--w -lh1- 8056
  JLIB86.SYM        8151      3184  39.1% 85-03-23 20:22:22 a--w -lh1- 23A4
  MATHLIB.SYM       2208      1119  50.7% 85-03-24 17:25:34 a--w -lh1- AB20
  PARSE.$$$         1743       731  41.9% 80-01-01  3:40:00 a--w -lh1- 7CCF
  RANDOM.SYM         662       398  60.1% 85-03-24 17:33:36 a--w -lh1- C872
  STRHASH.$$$          0         0   0.0% 80-01-01  3:40:04 a--w -lh0- 0000
  STRLIB.SYM        1645       925  56.2% 85-03-24 17:29:34 a--w -lh1- 9396
  STRTAB.$$$          38        36  94.7% 80-01-01  3:40:02 a--w -lh1- 6AFA
  SYSTEM.SYM         987       654  66.3% 85-03-24 17:36:00 a--w -lh1- 51DD
  TEXT_IO.SYM      14259      6398  44.9% 85-03-24 20:21:12 a--w -lh1- 7E0E
  TIMELIB.SYM       1595       943  59.1% 85-03-24 17:21:30 a--w -lh1- 0C8D
  UTIL.SYM          1105       562  50.9% 85-03-23 20:23:10 a--w -lh1- 2263
--------------  --------  -------- ------ -------- --------
    28 files      349222    162085  46.4% 90-02-14 17:36:56
Listing of archive : 'JANUS_D2.EXE'

  Name          Original    Packed  Ratio   Date     Time   Attr Type  CRC
--------------  --------  -------- ------ -------- -------- ---- ----- ----
  BAS2_IO.JRL        904       579  64.0% 85-03-24 19:22:38 a--w -lh1- E15B
  BAS2_IO.SYM       2554      1242  48.6% 85-03-23 20:24:02 a--w -lh1- 3CE8
  BASIC_IO.JRL      6263      3202  51.1% 85-03-24 19:32:16 a--w -lh1- A29D
  BASIC_IO.SYM      3388      1719  50.7% 85-03-23 20:24:54 a--w -lh1- 1231
  BCDOPS.JRL       10873      5398  49.6% 85-03-24 19:30:56 a--w -lh1- 4FA4
  BCDOPS.SYM        5488      2750  50.1% 85-03-24 17:32:50 a--w -lh1- 2C6E
  BIGARRAY.JRL       278       220  79.1% 85-03-24 19:50:46 a--w -lh1- 9C1E
  BIGARRAY.SYM       791       484  61.2% 85-03-24 19:49:12 a--w -lh1- 2015
  BIT.JRL            274       194  70.8% 85-03-24 19:18:20 a--w -lh1- E05F
  BIT.SYM           2481      1324  53.4% 85-03-24 17:31:08 a--w -lh1- C038
  CALENDAR.JRL      2505      1516  60.5% 85-03-24 19:31:10 a--w -lh1- 2608
  CALENDAR.SYM      1927      1034  53.7% 85-03-24 17:35:14 a--w -lh1- DF24
  CHAINLIB.JRL      2253      1428  63.4% 85-03-24 17:46:24 a--w -lh1- EA47
  CHAINLIB.SYM       559       350  62.6% 85-03-24 17:30:20 a--w -lh1- 2E11
  FLOAT87.JRL        649       464  71.5% 85-04-17 15:55:58 a--w -lh1- 65A7
  FLOAT87.SYM       3183      1385  43.5% 85-03-24 17:23:08 a--w -lh1- 2D13
  FLOATOPS.JRL      3974      2737  68.9% 85-04-17 16:02:42 a--w -lh1- AF0F
  FLOATOPS.SYM      3185      1363  42.8% 85-03-24 17:22:18 a--w -lh1- 12B9
  HOOKS.JRL          350       268  76.6% 85-04-23 15:45:04 a--w -lh1- 9A67
  HOOKS.SYM          262       186  71.0% 85-03-24 17:39:12 a--w -lh1- 7083
  IO_EXCEP.JRL        39        27  69.2% 85-03-23 20:21:30 a--w -lh1- 9056
  IO_EXCEP.SYM       573       392  68.4% 85-03-23 20:21:30 a--w -lh1- A3BD
  JLIB86.JRL        6026      4273  70.9% 85-09-24 19:21:54 a--w -lh1- 70AF
  JLIB86.SYM        8151      3184  39.1% 85-03-23 20:22:22 a--w -lh1- 23A4
  JLINK.COM        44123     21753  49.3% 85-10-10 13:29:54 a--w -lh1- 054E
  LONGIO.JRL        2197      1274  58.0% 85-03-24 19:31:22 a--w -lh1- BDE6
  LONGIO.SYM        1501       821  54.7% 85-03-24 17:27:14 a--w -lh1- D711
  LONGOPS.JRL        627       429  68.4% 85-03-24 19:20:12 a--w -lh1- DF8B
  LONGOPS.SYM       2526      1279  50.6% 85-03-24 17:26:22 a--w -lh1- BF30
  MATH87.JRL        8734      4602  52.7% 85-05-01 17:58:28 a--w -lh1- 4965
  MATH87.SYM        4058      1838  45.3% 85-03-24 17:24:46 a--w -lh1- 835E
  MATH872.JRL        411       276  67.2% 85-03-24 18:38:18 a--w -lh1- 1487
  MATH872.SYM        969       533  55.0% 85-03-24 17:31:56 a--w -lh1- 72FD
  MATHLIB.JRL      12747      8052  63.2% 85-05-01 17:51:48 a--w -lh1- 4C18
  MATHLIB.SYM       2208      1119  50.7% 85-03-24 17:25:34 a--w -lh1- AB20
  PROFILER.JRL       715       384  53.7% 85-03-24 19:47:18 a--w -lh1- C090
  PROFILER.SYM      1731       980  56.6% 85-03-24 17:40:52 a--w -lh1- FACF
  RANDIO.JRL        3768      1757  46.6% 85-03-24 19:33:02 a--w -lh1- 9719
  RANDIO.SYM        5042      2493  49.4% 85-03-23 20:27:24 a--w -lh1- 3642
  RANDOM.JRL        1408       897  63.7% 85-03-24 19:27:06 a--w -lh1- 0E53
  RANDOM.SYM         662       398  60.1% 85-03-24 17:33:36 a--w -lh1- C872
  RTEXT_IO.JRL      2374      1278  53.8% 85-03-24 19:46:06 a--w -lh1- 3B4C
  RTEXT_IO.SYM      1737       947  54.5% 85-03-24 17:20:40 a--w -lh1- C2C9
  SECT.JRL            39        24  61.5% 85-03-23 20:26:30 a--w -lh1- 0946
  SECT.SYM           317       210  66.2% 85-03-23 20:26:30 a--w -lh1- 963F
  SEQ_IO.JRL        3650      1900  52.1% 85-03-24 19:32:38 a--w -lh1- 049B
  SEQ_IO.SYM        3066      1583  51.6% 85-03-23 20:25:44 a--w -lh1- F852
  SFLOATOP.JRL      3450      2430  70.4% 85-04-17 16:09:10 a--w -lh1- 03BF
  SFLOATOP.SYM      3185      1342  42.1% 85-03-24 17:23:56 a--w -lh1- 1105
  SMATHLIB.JRL     11215      6844  61.0% 85-05-01 17:53:42 a--w -lh1- BB49
  SMATHLIB.SYM      2210      1109  50.2% 85-03-24 17:36:50 a--w -lh1- 2E5D
  SORT.JRL          8065      4328  53.7% 85-03-24 19:47:08 a--w -lh1- 3E3F
  SORT.SYM           968       566  58.5% 85-03-24 17:40:02 a--w -lh1- 0663
  STRLIB.JRL        3183      1776  55.8% 85-04-08 12:07:36 a--w -lh1- 3A5A
  STRLIB.SYM        1645       925  56.2% 85-03-24 17:29:34 a--w -lh1- 9396
  SYSTEM.JRL          39        26  66.7% 85-03-24 17:36:02 a--w -lh1- E5F8
  SYSTEM.SYM         987       654  66.3% 85-03-24 17:36:00 a--w -lh1- 51DD
  TEXT2_IO.JRL     11634      5700  49.0% 85-03-25 20:15:52 a--w -lh1- 55FC
  TEXT2_IO.SYM      9923      4487  45.2% 85-03-24 20:22:08 a--w -lh1- 444C
  TEXT_IO.JRL      16787      8168  48.7% 85-03-25 20:11:56 a--w -lh1- 9D3A
  TEXT_IO.SYM      14259      6398  44.9% 85-03-24 20:21:12 a--w -lh1- 7E0E
  TIMELIB.JRL       2131      1254  58.8% 85-03-24 17:47:48 a--w -lh1- 4BE2
  TIMELIB.SYM       1595       943  59.1% 85-03-24 17:21:30 a--w -lh1- 0C8D
  UTIL.JRL           149       127  85.2% 85-03-24 19:16:56 a--w -lh1- CD12
  UTIL.SYM          1105       562  50.9% 85-03-23 20:23:10 a--w -lh1- 2263
--------------  --------  -------- ------ -------- --------
    65 files      264070    138185  52.3% 90-02-14 17:36:18
Listing of archive : 'JANUS_D3.EXE'

  Name          Original    Packed  Ratio   Date     Time   Attr Type  CRC
--------------  --------  -------- ------ -------- -------- ---- ----- ----
  CORDER.COM       48710     24588  50.5% 85-10-10 13:47:02 a--w -lh1- 2FDB
  JASM86.COM       12137      6888  56.8% 85-10-10 13:46:58 a--w -lh1- 6A47
  JASM86.OV0       26452     10220  38.6% 85-03-23 20:12:54 a--w -lh1- 69D9
  JASM86.OV1       11776      3673  31.2% 85-03-23 20:13:54 a--w -lh1- 4512
  JASM861.OVL      29989     17248  57.5% 85-10-10 13:46:58 a--w -lh1- 0363
  JASM862.OVL      63790     32057  50.3% 85-10-10 13:47:00 a--w -lh1- C75A
  MAKE.BAT           384       220  57.3% 85-04-21 19:21:04 a--w -lh1- 4B5B
  OPTIMIZE.COM     38122     18231  47.8% 85-10-10 13:47:08 a--w -lh1- 71F5
  READSYM.COM      25865     14941  57.8% 85-10-10 13:47:06 a--w -lh1- 4E52
  SYN1.OVL         47309     15514  32.8% 85-01-29 11:01:24 a--w -lh1- 4868
  SYNTAX.COM       38447     21418  55.7% 85-10-10 13:47:04 a--w -lh1- 331E
--------------  --------  -------- ------ -------- --------
    11 files      342981    164998  48.1% 90-02-14 17:44:54
Listing of archive : 'JANUS_D5.EXE'

  Name          Original    Packed  Ratio   Date     Time   Attr Type  CRC
--------------  --------  -------- ------ -------- -------- ---- ----- ----
  BAS2_IO.SYM       2554      1242  48.6% 85-03-23 20:24:02 a--w -lh1- 3CE8
  BASIC_IO.SYM      3388      1726  50.9% 85-03-23 20:24:54 a--w -lh1- 000E
  BIT.SYM           2481      1324  53.4% 85-03-24 17:31:08 a--w -lh1- C038
  CALENDAR.SYM      1927      1237  64.2% 85-03-24 17:35:14 a--w -lh1- D300
  ERROR.MSG        16128      4598  28.5% 85-03-25 12:44:52 a--w -lh1- B6F1
  JANUS.COM        12595      6898  54.8% 85-10-10 13:25:36 a--w -lh1- B6AB
  JANUS1.COM       42844     22643  52.8% 85-10-10 13:25:36 a--w -lh1- 5F6D
  JANUS1.OVL       46365     16817  36.3% 85-03-23 20:17:30 a--w -lh1- 08B9
  JANUS2.COM       50587     25429  50.3% 85-10-10 13:25:38 a--w -lh1- 8750
  JANUS2.OVL        4230      1175  27.8% 85-03-23 20:17:56 a--w -lh1- A17C
  JANUS2A.COM      64827     30193  46.6% 85-10-10 13:25:40 a--w -lh1- 4061
  JANUS3.COM       64354     32038  49.8% 85-10-10 13:25:42 a--w -lh1- 4777
  JLIB86.SYM        8151      3161  38.8% 85-03-23 20:22:22 a--w -lh1- C847
  NAME.$$$            96        70  72.9% 80-01-03  0:09:52 a--w -lh1- 99EC
  RANDOM.SYM         662       398  60.1% 85-03-24 17:33:36 a--w -lh1- C872
  STRLIB.SYM        1645       925  56.2% 85-03-24 17:29:34 a--w -lh1- 9396
  SYSTEM.SYM         987       654  66.3% 85-03-24 17:36:00 a--w -lh1- 51DD
